run_id;experiment_id;Basis;Matt_Beads;Matt_Silica;Wachs;Verdicker;Time_To_Mix;Time_To_Dispense;thickness;gloss_60;gloss_85;haze;CIELAB_10deg_L;CIELAB_10deg_a;CIELAB_10deg_b;Viskos1;Viskos2;abrasion0;abrasion1;abrasion2;abrasion3
841;1;100.023;0.0;0.0;0.0;0.0;253.0;392.0;38.8;82.4;93.2;257.8;-0.001096774240000542;-0.258433554977;0.14469174013;220.53100000000003;140.23700000000002;0.1067717747118126;0.1190906534923886;0.1333104892155681;0.1333104892155681
841;2;85.498;4.987;5.0169999999999995;2.011;2.505;753.0;321.0;35.9;15.9;31.6;116.3;6.127443713699999;-0.305655945287;-0.805049547973;581.741;310.688;0.043665526971121;0.036357292043218;0.0441644575651684;0.0441644575651684
841;3;82.763;3.731;11.244;1.0070000000000001;1.259;660.0;320.0;34.0;10.7;22.6;67.4;8.745639342499999;-0.275901260021;-1.19621145404;240.6380000000001;140.959;0.044640167490059;0.0593093545407077;0.0555419578664096;0.0555419578664096
841;4;88.256;3.766;1.248;3.008;3.746;702.0;323.0;39.6;28.9;50.4;229.5;3.9546105667499996;-0.313251132565;-0.61232916441;864.6709999999999;440.999;0.1143178646021609;0.0972261969313571;0.1313486564646342;0.1313486564646342
841;5;87.864;6.564;0.963;1.504;3.155;659.0;318.0;39.8;27.0;47.8;214.1;4.616559443579999;-0.339749018144;-0.567779716805;757.979;392.052;0.042171873117243;0.0381885869783508;0.0645189430453468;0.0645189430453468
841;6;78.409;6.564;10.947000000000001;3.509;0.64;635.0;327.0;35.7;6.9;16.2;37.0;11.8784345917;-0.259182898263;-1.18565470375;168.296;104.268;0.0451685946097923;0.0360529130015664;0.0717669297505723;0.0717669297505723
841;7;82.62899999999999;7.821;4.713;0.491;4.383;679.0;348.0;37.9;13.2;27.3;93.5;6.732558139599999;-0.274585890858;-0.754344145356;743.729;389.989;0.1284460728200184;0.1028123368277302;0.1629243734184841;0.1629243734184841
841;8;93.11500000000001;0.292;2.212;2.504;1.889;630.0;406.0;14.149999999999999;38.7;57.4;273.4;2.58448230618;-0.267451651753;-0.271790553396;610.5040000000001;321.258;0.0490596256577097;0.040216316222838;0.0807853355826003;0.0807853355826003
841;9;90.307;1.647;2.145;1.252;4.707;691.0;324.0;38.4;36.6;59.5;287.4;2.35462686425;-0.310682116852;-0.334040873857;1088.4;557.601;0.0300224424629473;0.0250707916616459;0.0394349720849901;0.0394349720849901
841;10;80.79400000000001;12.886;0.889;3.255;2.2070000000000003;631.0;338.0;38.4;10.8;22.2;72.8;9.007934423999998;-0.317890249323;-0.913587314062;584.0400000000001;315.299;0.0266203006386311;0.0236329929308752;0.0374668634775274;0.0374668634775274
842;1;77.556;3.505;15.261000000000001;0.253;3.4499999999999997;693.0;316.0;34.7;6.1;14.2;34.8;11.1473517923;-0.255751118769;-1.11170630551;462.969;247.653;0.0768748493794433;0.0679625055227537;0.0926027734265172;0.0926027734265172
842;2;88.062;6.01;2.714;2.25;0.9520000000000001;647.0;327.0;37.4;22.0;40.8;170.9;5.2916942229799995;-0.356404443313;-0.673056756922;336.333;189.114;0.1623451118608667;0.1453745682210708;0.1968052124753986;0.1968052124753986
