Viskos1;Viskos2
220.53100000000003;140.23700000000002
581.741;310.688
240.6380000000001;140.959
864.6709999999999;440.999
757.979;392.052
168.296;104.268
743.729;389.989
610.5040000000001;321.258
1088.4;557.601
584.0400000000001;315.299
462.969;247.653
336.333;189.114
479.672;260.81600000000003
665.22;346.111
243.472;145.19
759.805;398.442
651.239;340.331
1253.23;648.7080000000001
391.503;220.95300000000003
797.582;407.124
933.138;475.2600000000001
437.591;241.029
532.961;280.724
271.559;161.575
634.4040000000001;334.554
89.15110000000001;64.1794
692.741;371.458
337.865;189.019
275.372;159.24899999999997
679.562;363.514
483.837;260.723
1155.15;571.15
779.216;400.82
202.682;121.411
1059.7800000000002;552.144
568.67;298.39
194.797;118.958
492.99300000000005;289.679
280.04900000000004;158.191
1027.73;518.085
465.511;250.71
682.357;361.18500000000006
149.45100000000002;96.7862
511.2240000000001;270.892
907.036;471.242
420.521;232.067
683.0939999999999;357.76300000000003
348.49800000000005;199.234
801.975;418.479
421.5830000000001;231.415
507.7799999999999;275.756
267.23;159.632
552.008;293.9
725.631;379.026
252.223;146.54
774.752;394.4309999999999
393.411;218.246
885.948;462.627
325.127;180.856
390.065;197.715
735.217;386.029
107.33899999999998;73.40630000000002
1023.35;534.4499999999999
537.861;286.061
593.712;314.90400000000005
144.669;91.99370000000002
465.0040000000001;250.61399999999998
617.2940000000001;320.06399999999996
597.5490000000001;314.752
152.42900000000003;96.87730000000002
458.8040000000001;247.54699999999997
613.6189999999999;322.842
1013.9800000000001;513.501
947.6449999999999;494.217
680.473;356.831
284.30699999999996;162.18
615.2920000000001;323.4
395.592;212.47200000000004
223.329;133.877
537.105;283.717
